sample,group,subset,kind,events,denominator_events,value
FD1,FD,All neutrophils / viable cells,total abundance,1691,148026,1.1423668814937917
FD1,FD,All neutrophils / CD45-CD11b gate,total abundance,1691,13076,12.93208932395228
FD1,FD,Saved: cd177+ all neutrophil,saved gate,159,1691,9.402720283855707
FD1,FD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,75,1691,4.4352454169130695
FD1,FD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,saved gate,15,1691,0.8870490833826138
FD1,FD,Saved: cd177+ all neutrophil/cxcr4- osm+,saved gate,0,1691,0.0
FD1,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,0,1691,0.0
FD1,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,54,1691,3.1933767001774096
FD1,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,10,1691,0.5913660555884093
FD1,FD,Saved: cd177- all neutrophils,saved gate,1327,1691,78.4742755765819
FD1,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,250,1691,14.78415138971023
FD1,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,97,1691,5.73625073920757
FD1,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,49,1691,2.8976936723832054
FD1,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,168,1691,9.934949733885276
FD1,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,165,1691,9.757539917208753
FD1,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,147,1691,8.693081017149616
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,476,1691,28.149024246008278
FD1,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,113,1691,6.682436428149024
FD1,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,84,1691,4.967474866942638
FD1,FD,Saved: cxcr4+,saved gate,1081,1691,63.926670609107035
FD1,FD,Saved: cxcr4+/cd177 hi,saved gate,73,1691,4.316972205795388
FD1,FD,"Saved: cxcr4+/mx1, osm+",saved gate,93,1691,5.499704316972206
FD1,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,92,1691,5.440567711413365
FD1,FD,"Saved: cxcr4+/padi4, osm+",saved gate,101,1691,5.972797161442934
FD1,FD,Saved: cxcr4+/padi4- or osm-,saved gate,835,1691,49.379065641632174
FD1,FD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,saved gate,778,1691,46.00827912477824
FD1,FD,Saved: cxcr4-,saved gate,510,1691,30.15966883500887
FD1,FD,Saved: cxcr4-/cd177 hi,saved gate,86,1691,5.08574807806032
FD1,FD,Saved: mx1+,saved gate,106,1691,6.268480189237137
FD1,FD,Saved: mx1+/cd177 hi,saved gate,0,1691,0.0
FD1,FD,Saved: osm+,saved gate,334,1691,19.75162625665287
FD1,FD,Saved: osm+/cd177 hi,saved gate,0,1691,0.0
FD1,FD,Saved: padi4+,saved gate,119,1691,7.037256061502069
FD1,FD,Saved: padi4+/cd177 hi,saved gate,1,1691,0.05913660555884092
FD1,FD,FMO: CXCR4+,fixed FMO,786,1691,46.48137196924897
FD1,FD,FMO: OSM+,fixed FMO,18,1691,1.0644589000591367
FD1,FD,FMO: PADI4+,fixed FMO,0,1691,0.0
FD1,FD,FMO: MX1+,fixed FMO,106,1691,6.268480189237137
FD1,FD,FMO: NAMPT+,fixed FMO,176,1691,10.408042578356003
FD1,FD,FMO: CXCR4+ & OSM+,fixed FMO coexpression,16,1691,0.9461856889414547
FD1,FD,FMO: CXCR4+ & PADI4+,fixed FMO coexpression,0,1691,0.0
FD1,FD,FMO: CXCR4+ & MX1+,fixed FMO coexpression,74,1691,4.376108811354229
FD1,FD,FMO: CXCR4+ & NAMPT+,fixed FMO coexpression,111,1691,6.564163217031342
FD1,FD,FMO: OSM+ & PADI4+,fixed FMO coexpression,0,1691,0.0
FD1,FD,FMO: OSM+ & MX1+,fixed FMO coexpression,18,1691,1.0644589000591367
FD1,FD,FMO: OSM+ & NAMPT+,fixed FMO coexpression,18,1691,1.0644589000591367
FD1,FD,FMO: PADI4+ & MX1+,fixed FMO coexpression,0,1691,0.0
FD1,FD,FMO: PADI4+ & NAMPT+,fixed FMO coexpression,0,1691,0.0
FD1,FD,FMO: MX1+ & NAMPT+,fixed FMO coexpression,88,1691,5.2040212891780016
FD1,FD,F4/80 gate overlap,gate overlap,417,1691,24.659964518036666
FD1,FD,Outside F4/80 gate,gate overlap,1274,1691,75.34003548196334
FD2,FD,All neutrophils / viable cells,total abundance,112,15265,0.7337045528987881
FD2,FD,All neutrophils / CD45-CD11b gate,total abundance,112,388,28.8659793814433
FD2,FD,Saved: cd177+ all neutrophil,saved gate,33,112,29.464285714285715
FD2,FD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,4,112,3.5714285714285716
FD2,FD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,saved gate,2,112,1.7857142857142858
FD2,FD,Saved: cd177+ all neutrophil/cxcr4- osm+,saved gate,0,112,0.0
FD2,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,0,112,0.0
FD2,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,8,112,7.142857142857143
FD2,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,4,112,3.5714285714285716
FD2,FD,Saved: cd177- all neutrophils,saved gate,74,112,66.07142857142857
FD2,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,48,112,42.857142857142854
FD2,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,6,112,5.357142857142857
FD2,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,1,112,0.8928571428571429
FD2,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,39,112,34.82142857142857
FD2,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,12,112,10.714285714285714
FD2,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,33,112,29.464285714285715
FD2,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,42,112,37.5
FD2,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,3,112,2.6785714285714284
FD2,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,18,112,16.071428571428573
FD2,FD,Saved: cxcr4+,saved gate,72,112,64.28571428571429
FD2,FD,Saved: cxcr4+/cd177 hi,saved gate,4,112,3.5714285714285716
FD2,FD,"Saved: cxcr4+/mx1, osm+",saved gate,11,112,9.821428571428571
FD2,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,31,112,27.678571428571427
FD2,FD,"Saved: cxcr4+/padi4, osm+",saved gate,27,112,24.107142857142858
FD2,FD,Saved: cxcr4+/padi4- or osm-,saved gate,37,112,33.035714285714285
FD2,FD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,saved gate,33,112,29.464285714285715
FD2,FD,Saved: cxcr4-,saved gate,37,112,33.035714285714285
FD2,FD,Saved: cxcr4-/cd177 hi,saved gate,29,112,25.892857142857142
FD2,FD,Saved: mx1+,saved gate,20,112,17.857142857142858
FD2,FD,Saved: mx1+/cd177 hi,saved gate,0,112,0.0
FD2,FD,Saved: osm+,saved gate,52,112,46.42857142857143
FD2,FD,Saved: osm+/cd177 hi,saved gate,0,112,0.0
FD2,FD,Saved: padi4+,saved gate,27,112,24.107142857142858
FD2,FD,Saved: padi4+/cd177 hi,saved gate,1,112,0.8928571428571429
FD2,FD,FMO: CXCR4+,fixed FMO,36,112,32.142857142857146
FD2,FD,FMO: OSM+,fixed FMO,1,112,0.8928571428571429
FD2,FD,FMO: PADI4+,fixed FMO,1,112,0.8928571428571429
FD2,FD,FMO: MX1+,fixed FMO,8,112,7.142857142857143
FD2,FD,FMO: NAMPT+,fixed FMO,23,112,20.535714285714285
FD2,FD,FMO: CXCR4+ & OSM+,fixed FMO coexpression,1,112,0.8928571428571429
FD2,FD,FMO: CXCR4+ & PADI4+,fixed FMO coexpression,0,112,0.0
FD2,FD,FMO: CXCR4+ & MX1+,fixed FMO coexpression,5,112,4.464285714285714
FD2,FD,FMO: CXCR4+ & NAMPT+,fixed FMO coexpression,16,112,14.285714285714286
FD2,FD,FMO: OSM+ & PADI4+,fixed FMO coexpression,0,112,0.0
FD2,FD,FMO: OSM+ & MX1+,fixed FMO coexpression,0,112,0.0
FD2,FD,FMO: OSM+ & NAMPT+,fixed FMO coexpression,1,112,0.8928571428571429
FD2,FD,FMO: PADI4+ & MX1+,fixed FMO coexpression,0,112,0.0
FD2,FD,FMO: PADI4+ & NAMPT+,fixed FMO coexpression,0,112,0.0
FD2,FD,FMO: MX1+ & NAMPT+,fixed FMO coexpression,6,112,5.357142857142857
FD2,FD,F4/80 gate overlap,gate overlap,16,112,14.285714285714286
FD2,FD,Outside F4/80 gate,gate overlap,96,112,85.71428571428571
FD4,FD,All neutrophils / viable cells,total abundance,640,93156,0.6870196229979819
FD4,FD,All neutrophils / CD45-CD11b gate,total abundance,640,3332,19.20768307322929
FD4,FD,Saved: cd177+ all neutrophil,saved gate,279,640,43.59375
FD4,FD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,29,640,4.53125
FD4,FD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,saved gate,11,640,1.71875
FD4,FD,Saved: cd177+ all neutrophil/cxcr4- osm+,saved gate,0,640,0.0
FD4,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,1,640,0.15625
FD4,FD,Saved: cd177+ all neutrophil/padi4+,saved gate,86,640,13.4375
FD4,FD,Saved: cd177+ all neutrophil/padi4+ cxcr4-,saved gate,16,640,2.5
FD4,FD,Saved: cd177- all neutrophils,saved gate,310,640,48.4375
FD4,FD,Saved: cd177- all neutrophils/cxcr4+ osm+,saved gate,63,640,9.84375
FD4,FD,Saved: cd177- all neutrophils/cxcr4- mx1+,saved gate,26,640,4.0625
FD4,FD,Saved: cd177- all neutrophils/cxcr4- osm+,saved gate,24,640,3.75
FD4,FD,Saved: cd177- all neutrophils/mx1+ cxcr4+,saved gate,42,640,6.5625
FD4,FD,Saved: cd177- all neutrophils/mx1+ osm+,saved gate,32,640,5.0
FD4,FD,Saved: cd177- all neutrophils/osm+ padi4+,saved gate,12,640,1.875
FD4,FD,Saved: cd177- all neutrophils/padi4+ cxcr4+,saved gate,72,640,11.25
FD4,FD,Saved: cd177- all neutrophils/padi4+ cxcr4-,saved gate,55,640,8.59375
FD4,FD,Saved: cd177- all neutrophils/padi4+ mx1+,saved gate,7,640,1.09375
FD4,FD,Saved: cxcr4+,saved gate,185,640,28.90625
FD4,FD,Saved: cxcr4+/cd177 hi,saved gate,28,640,4.375
FD4,FD,"Saved: cxcr4+/mx1, osm+",saved gate,22,640,3.4375
FD4,FD,"Saved: cxcr4+/mx1, padi4+",saved gate,5,640,0.78125
FD4,FD,"Saved: cxcr4+/padi4, osm+",saved gate,8,640,1.25
FD4,FD,Saved: cxcr4+/padi4- or osm-,saved gate,159,640,24.84375
FD4,FD,Saved: cxcr4+/padi4- or osm-/true cxcr+ neutro,saved gate,132,640,20.625
FD4,FD,Saved: cxcr4-,saved gate,429,640,67.03125
FD4,FD,Saved: cxcr4-/cd177 hi,saved gate,249,640,38.90625
FD4,FD,Saved: mx1+,saved gate,53,640,8.28125
FD4,FD,Saved: mx1+/cd177 hi,saved gate,0,640,0.0
FD4,FD,Saved: osm+,saved gate,43,640,6.71875
FD4,FD,Saved: osm+/cd177 hi,saved gate,0,640,0.0
FD4,FD,Saved: padi4+,saved gate,35,640,5.46875
FD4,FD,Saved: padi4+/cd177 hi,saved gate,3,640,0.46875
FD4,FD,FMO: CXCR4+,fixed FMO,104,640,16.25
FD4,FD,FMO: OSM+,fixed FMO,1,640,0.15625
FD4,FD,FMO: PADI4+,fixed FMO,0,640,0.0
FD4,FD,FMO: MX1+,fixed FMO,32,640,5.0
FD4,FD,FMO: NAMPT+,fixed FMO,134,640,20.9375
FD4,FD,FMO: CXCR4+ & OSM+,fixed FMO coexpression,1,640,0.15625
FD4,FD,FMO: CXCR4+ & PADI4+,fixed FMO coexpression,0,640,0.0
FD4,FD,FMO: CXCR4+ & MX1+,fixed FMO coexpression,14,640,2.1875
FD4,FD,FMO: CXCR4+ & NAMPT+,fixed FMO coexpression,29,640,4.53125
FD4,FD,FMO: OSM+ & PADI4+,fixed FMO coexpression,0,640,0.0
FD4,FD,FMO: OSM+ & MX1+,fixed FMO coexpression,1,640,0.15625
FD4,FD,FMO: OSM+ & NAMPT+,fixed FMO coexpression,1,640,0.15625
FD4,FD,FMO: PADI4+ & MX1+,fixed FMO coexpression,0,640,0.0
FD4,FD,FMO: PADI4+ & NAMPT+,fixed FMO coexpression,0,640,0.0
FD4,FD,FMO: MX1+ & NAMPT+,fixed FMO coexpression,31,640,4.84375
FD4,FD,F4/80 gate overlap,gate overlap,145,640,22.65625
FD4,FD,Outside F4/80 gate,gate overlap,495,640,77.34375
FD5,FD,All neutrophils / viable cells,total abundance,477,39589,1.2048801434741974
FD5,FD,All neutrophils / CD45-CD11b gate,total abundance,477,1643,29.032258064516128
FD5,FD,Saved: cd177+ all neutrophil,saved gate,156,477,32.704402515723274
FD5,FD,Saved: cd177+ all neutrophil/cxcr4+,saved gate,55,477,11.530398322851154
FD5,FD,Saved: cd177+ all neutrophil/cxcr4+/padi4+,saved gate,7,477,1.4675052410901468
FD5,FD,Saved: cd177+ all neutrophil/cxcr4- osm+,saved gate,0,477,0.0
FD5,FD,Saved: cd177+ all neutrophil/mx1+ cxcr4-,saved gate,0,477,0.0
